,AdvertiserID,Frequency,AveragePrice
0,87751e815bbf47916ee100015d6533e5,144,368.75
1,c42231092c113dbec88c39af4294063f,96,475.5208333333333
2,95d8183b79643f5d2ad2bef5e3d2ead7,94,821.968085106383
3,fb14a9fac3379890f1b3b85801aa9f66,50,559.1836734693877
4,0b2010c35c9da1bd577bd708d06235c6,49,553.0612244897959
5,4f72d21968f71fedd572d0f5bea1a41a,49,470.2040816326531
6,cd71edfd285e3d4e91d52b394e90dd89,47,573.4042553191489
7,0af0ee31d92aa56f4f2ec4396bba4599,46,585.0
8,7271bbca2bc050c34fe1bdfdd0ef7f6e,41,429.8780487804878
9,2003d50b3be0d0f4d3fb328785a00e06,37,514.8648648648649
10,4b89a4e24065dade6bbe05f2616657f3,32,876.5625
11,64de2a79be57404f6ebab283f33decae,29,832.4137931034483
12,59e9e86128ad65d1f3b49cb7648aa0da,28,380.35714285714283
13,2281b7de033151d011973b2526bc2d96,25,310.0
14,56aaed03a509d3a41a229f25c36aef36,24,855.4166666666666
15,b731c77554f1c876fd80cf255a6a7d9d,23,472.60869565217394
16,af4b138bc716a35f0bb1d941f1f16a33,22,480.6818181818182
17,abf175b25b27fbc13a340b88a67b97a6,22,1138.409090909091
18,3ce8c4e5c7da2e789dc69637b131de3b,21,525.952380952381
19,abe2c128d1d2d77513708e97e3a56880,20,560.0
20,d2feb55af31e47ef2c1791cf7ab1a865,20,338.5
21,96bdb783a1c6d9e2402a87fdae3409a6,20,410.9
23,31f9f49ee22bd212e44692aeb60248d6,19,410.5263157894737
24,b87cbfb8c1864eb8f63330d57a482a7f,18,478.05555555555554
25,84fb61e90aa17155459a274af3d3419c,18,312.77777777777777
26,b9bcd84d1ef7fddfdcfbaa9e1f197f51,17,612.3529411764706
27,cb0e7d2c146fbd8d46dc10418678785d,17,746.7647058823529
28,a526027a7b531a06c0e1892a3325825d,17,444.11764705882354
29,7cb2475f50e9e9d417a318c059e89601,17,794.1176470588235
30,a8134decc094d6ef48481cf23ce5891a,17,547.0588235294117
31,9315af81b767ed127600708dab52a0bb,17,705.2941176470588
32,dcd943432bb8c27906a79b8bcdbde43a,17,471.7647058823529
33,9c373facb7d609fbe2602aa6f76f8c62,17,692.0
34,e168249bcd1a13e585e2ecd7b801f907,16,450.0
35,52aa9dfee622a15912837df2ba11bc31,15,646.6666666666666
36,f7233c225ae53dfc29c4fee816cdeb09,15,486.6666666666667
37,b322e11f39e8c20a47eadce92a3c6229,14,351.07142857142856
38,a96ece20bb42537020589e4d7ee0a79e,14,392.85714285714283
39,0025255d271125973482b8aafa12bd1f,14,251.42857142857142
40,c4ca8f3939dcef5d32dc5912de4c7fd4,14,421.42857142857144
42,7c2507030f55759d5cf2f566430132bd,13,611.5384615384615
43,1fd0abfeb65de5028859731e6ad6001c,13,782.6923076923077
44,721cabf17ecdcf8cf90ac51b1676bc54,13,788.3846153846154
45,bf8229696f7a3bb4700cfddef19fa23f,13,848.8461538461538
46,cf3eefa664fc5cf390404333e08992aa,13,350.0
47,b9d355de486625e350af9f9d4e29687c,13,650.0
48,bb0c6a618f2198ab5e7be7c531711e21,13,630.7692307692307
49,45b0d8cd1073de45513c358530c92cd7,13,596.1538461538462
50,9b78cab58c56179733181430ed4e5269,13,795.3846153846154
51,10a006448ba1431cda83f5815bcc4328,13,742.3076923076923
52,419f280fc8c563028546d5a5e6bce949,12,437.5
53,9b947a387fe8b334f2286aeb32dc0aae,12,814.5833333333334
54,2a15510e508dc48927f88620af526f8f,12,501.25
55,199356dd51a6322759f6d16938cf46b9,12,575.0
56,034604f06cacda1597ec6a21bb3b8e5e,12,454.54545454545456
57,938c8d15d5f9f91220c19e474ab374d3,12,514.5833333333334
58,45dfdd478718b1bb7d2acee4d34b536d,11,431.8181818181818
59,07a2d7dd159c1dc415d3475eb1f19fac,11,777.2727272727273
60,33fe84e1c1596b55151f243dcd92a909,11,319.09090909090907
61,ef7b5dd385c7142739851b01139048cb,11,184.0909090909091
62,e7eb060a532748ddf9b998bb40312166,11,554.5454545454545
63,b88194c21efc991ea32c1751fc4fbe53,11,962.7272727272727
64,a3a6f037e6878ea2e073534965ddbaac,11,454.54545454545456
65,f88eeceab203d9669af4c292b6402b54,11,472.72727272727275
66,3109aa20e1bf1108d8a78cb468a3afdd,11,477.72727272727275
67,f3427cad4192fc81d9f5430091ae85c1,11,759.0909090909091
68,d7e42b25fb6c123ed8a9ad591be2e0eb,11,572.7272727272727
69,426db206446c2b5387b099f486dbefbc,11,572.7272727272727
70,931bb69f23aa82e58d15ed80f9e6ef51,11,721.8181818181819
71,479893dbe8152747690eaba8b0da2d53,11,700.0
72,13d9aae445dbb7afb6d0ccb2fa4b9fb7,10,645.0
73,dfb218b776ee57902d70175b9404fa7a,10,585.0
74,7e812236cb5b1a3d41131f3818efa54d,10,350.0
75,b194e1255cc06da9826d634371255813,10,610.0
76,6faadf6ed6f80a4fae6447b118419fc7,10,425.0
